FoodCode	Seq.num	Start.date	End.date	Main.food.description
11553000	1	01/01/11 00:00:00	12/31/12 00:00:00	made with milk, yogurt, sherbet, or ice cream
11560000	1	01/01/11 00:00:00	12/31/12 00:00:00	Yoo-hoo
11560020	1	01/01/11 00:00:00	12/31/12 00:00:00	Yoo-hoo
11561000	1	01/01/11 00:00:00	12/31/12 00:00:00	beverage made with equal amounts of coffee and milk
11561010	1	01/01/11 00:00:00	12/31/12 00:00:00	beverage made with equal amounts of coffee and milk, sugar added
11710050	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Alimentum
11710051	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Alimentum
11710053	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Alimentum
11710054	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710054	2	01/01/11 00:00:00	12/31/12 00:00:00	Similac Alimentum
11710055	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Alimentum
11710055	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710056	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Alimentum
11710056	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure Water; Beech Nut Spring Water
11710350	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710351	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710352	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710353	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710354	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710354	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710355	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710355	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710356	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710356	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710357	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710357	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710358	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710358	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710359	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Advance EarlyShield
11710359	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring Water
11710360	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Organic
11710361	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Organic
11710363	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Organic
11710367	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Organic
11710367	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710368	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Organic
11710368	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710369	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Organic
11710369	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710374	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710375	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710376	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710377	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710378	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710379	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710380	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Sensitive RS
11710381	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Sensitive RS
11710383	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Sensitive RS
11710387	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Sensitive RS
11710387	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710388	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Sensitive RS
11710388	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710389	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Sensitive RS
11710389	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710477	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Neosure
11710477	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710478	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Neosure
11710478	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710479	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Neosure
11710479	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710480	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Go and Grow EarlyShield
11710481	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Go and Grow EarlyShield
11710482	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Go and Grow EarlyShield
11710482	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710483	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Go and Grow EarlyShield
11710483	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710484	1	01/01/11 00:00:00	12/31/12 00:00:00	Similac Go and Grow EarlyShield
11710484	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710627	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710628	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water
11710628	2	01/01/11 00:00:00	12/31/12 00:00:00	unsweetened bottled water
11710629	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water
11710629	2	01/01/11 00:00:00	12/31/12 00:00:00	Gerber Pure water
11710629	3	01/01/11 00:00:00	12/31/12 00:00:00	Beech-Nut Spring water
11710633	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710634	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water
11710634	2	01/01/11 00:00:00	12/31/12 00:00:00	unsweetened bottled water
11710635	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water
11710635	2	01/01/11 00:00:00	12/31/12 00:00:00	Gerber Pure water
11710635	3	01/01/11 00:00:00	12/31/12 00:00:00	Beech-Nut Spring water
11710637	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710638	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water
11710638	2	01/01/11 00:00:00	12/31/12 00:00:00	unsweetened bottled water
11710639	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water
11710639	2	01/01/11 00:00:00	12/31/12 00:00:00	Gerber Pure water
11710639	3	01/01/11 00:00:00	12/31/12 00:00:00	Beech-Nut Spring water
11710644	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710645	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710646	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710647	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710648	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710649	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710654	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710655	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710656	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710657	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710658	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710659	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710660	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil RestFull LIPIL
11710661	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil RestFull LIPIL
11710663	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil RestFull LIPIL
11710664	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil RestFull LIPIL
11710664	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710668	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil RestFull LIPIL
11710668	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710669	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil RestFull LIPIL
11710669	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710674	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710675	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710676	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710677	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710678	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710679	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710687	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil Next Step LIPIL
11710687	2	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710688	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil Next Step LIPIL
11710688	2	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710689	1	01/01/11 00:00:00	12/31/12 00:00:00	Enfamil Next Step LIPIL
11710689	2	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery waters; Gerber Pure water; Beech-Nut Spring water
11710697	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710698	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710699	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710800	1	01/01/11 00:00:00	12/31/12 00:00:00	all flavors
11710801	1	01/01/11 00:00:00	12/31/12 00:00:00	all flavors
11710805	1	01/01/11 00:00:00	12/31/12 00:00:00	all flavors
11710806	1	01/01/11 00:00:00	12/31/12 00:00:00	all flavors
11710914	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710915	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710916	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water; Beech-Nut Spring water
11710917	1	01/01/11 00:00:00	12/31/12 00:00:00	made with filtered tap water or well water
11710918	1	01/01/11 00:00:00	12/31/12 00:00:00	made with bottled spring water; unsweetened bottled water
11710919	1	01/01/11 00:00:00	12/31/12 00:00:00	made with Nursery water; Gerber Pure water, Beech-Nut Spring water
