"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11710352	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from liquid concentrate, made with water, NFS"	1
11710353	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from powder, made with water, NFS"	1
11710354	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from liquid concentrate, made with tap water"	1
11710355	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water"	1
11710356	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from liquid concentrate, made with baby water"	1
11710357	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from powder, made with tap water"	1
11710358	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from powder, made with plain bottled water "	1
11710359	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance, infant formula, prepared from powder, made with baby water"	1
11710360	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance Organic, infant formula, NS as to form"	1
11710361	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance Organic, infant formula, ready-to-feed"	1
11710363	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance Organic, infant formula, prepared from powder, made with water, NFS"	1
11710367	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance Organic, infant formula, prepared from powder, made with tap water"	1
11710368	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance Organic, infant formula, prepared from powder, made with plain bottled water"	1
11710369	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Advance Organic, infant formula, prepared from powder, made with baby water"	1
11710370	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, NS as to form"	1
11710371	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, ready-to-feed  "	1
11710372	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from liquid concentrate, made with water, NFS"	1
11710373	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from powder, made with water, NFS"	1
11710374	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from liquid concentrate, made with tap water"	1
11710375	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from liquid concentrate, made with plain bottled water"	1
11710376	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Similac Sensitive, infant formula, prepared from liquid concentrate, made with baby water"	1
