"Modification.code"	"Start.date"	"End.date"	"Modification.description"	"Food.code"
200397	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75205030
200421	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Vegetable combinations, Oriental style, (broccoli, green pepper, chinese cabbage, water chestnuts, etc), cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75340020
200428	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Broccoli, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	72201221
200429	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, lima, immature, cooked, from frozen, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75204022
200439	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Broccoli, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	72201222
200441	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cauliflower, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	75214022
200453	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Turnip greens, cooked, from fresh, fat added in cooking W/ VEGETABLE SHORTENING"	72128221
200475	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cabbage, red, cooked, fat added in cooking W/ BUTTER, NFS"	75212020
200494	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75205031
200504	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, chocolate, prepared from dry mix, milk added W/ 2% MILK"	13220120
200521	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots, cooked, from canned, fat added in cooking W/ BUTTER, NFS"	73102223
200524	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, lima, immature, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	75204022
200542	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, summer, cooked, NS as to form, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75233020
200579	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Poke greens, cooked, fat added in cooking W/ VEGETABLE SHORTENING"	72123020
200583	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, coconut W/ WHOLE MILK"	13210610
200605	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ 2% MILK"	13220220
200617	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, cooked, NS as to form, NS as to color, fat added in cooking W/ BUTTER, NFS"	75216020
200629	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cauliflower, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75214021
200665	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, flavors other than chocolate, prepared from dry mix, milk added W/ SKIM MILK"	13220110
200675	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cabbage, green, cooked, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75211030
200677	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Hominy, cooked, fat added in cooking W/ BUTTER, NFS"	75217520
200690	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	73102222
200691	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Lima beans, dry, cooked, fat added in cooking W/ VEGETABLE SHORTENING"	41103010
200693	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pinto, calico, or red Mexican beans, dry, cooked, fat added in cooking W/ VEGETABLE SHORTENING"	41104010
200694	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, lima, immature, cooked, from canned, fat added in cooking W/ BUTTER, NFS"	75204023
200698	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, cooked, from frozen, fat added in cooking W/ BUTTER, NFS"	75205032
200727	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, tapioca, made from dry mix, made with milk W/ SKIM MILK"	13210520
200760	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, cooked, from canned, NS as to color, fat added in cooking W/ BUTTER, NFS"	75216023
200781	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Cabbage, green, cooked, fat added in cooking W/ BUTTER, NFS"	75211030
200813	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, winter type, mashed, fat added in cooking, no sugar added in cooking W/ BUTTER, NFS"	73301020
200821	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75223021
200824	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, yellow, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"	75216120
200871	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Wheat, cream of, cooked, instant, fat not added in cooking W/ MILK"	56207030
200885	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Okra, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75220021
200886	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Peas, cowpeas, field peas, or blackeye peas (not dried), cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75223021
200927	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Eggplant, cooked, fat added in cooking W/ BUTTER, NFS"	75217020
200982	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, green, canned, low sodium, fat added in cooking W/ BUTTER, NFS"	75205130
201029	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, yellow, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75216121
201092	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Carrots, cooked, NS as to form, fat added in cooking W/ BUTTER, NFS"	73102220
201111	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, chocolate, prepared from dry mix, milk added W/ WHOLE MILK"	13220120
201115	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Corn, white, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75216221
201118	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Pudding, chocolate, prepared from dry mix, low calorie, containing artificial sweetener, milk added W/ SKIM MILK"	13220220
201147	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Onions, mature, cooked or sauteed, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75221021
201148	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, summer, cooked, from fresh, fat added in cooking W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)"	75233021
201160	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Mixed vegetables (corn, lima beans, peas, green beans, and carrots), cooked, fat added in cooking W/ BUTTER, NFS"	75311020
201174	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Squash, summer, cooked, from fresh, fat added in cooking W/ BUTTER, NFS"	75233021
201183	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Beans, string, cooked, from canned, NS as to color, fat added in cooking W/ BUTTER, NFS"	75204983
