	PD_whole_tree	shannon	simpson	observed_otus
CS.325	31.0	2.48633799412	0.808306640912	6.0
CS.363	64.0	2.81294856189	0.799104743349	13.0
CS.131	39.0	2.41513528807	0.790230846437	7.0
CS.206	18.0	1.5246347659	0.638093048003	3.0
CS.036	47.0	2.52507960807	0.801901911351	8.0
CS.268	71.0	3.09970533742	0.824912406727	14.0
CS.146	87.0	3.70070332484	0.903516607243	18.0
CS.039	40.0	2.32939788544	0.774666322275	7.0
CS.063	72.0	3.17183635704	0.86374307884	15.0
CS.079	52.0	2.73041599733	0.824596418159	9.0
CS.210	29.0	1.99536285005	0.714822691585	6.0
CS.293	34.0	2.0590538578	0.688856214475	6.0
